Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
NE 224_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,Gateway North 213,An Wang
NE 322_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,North Building 101,Michael DeLorme
OE 501_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Morton 105,Reza Marsooli
OE 520_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway North 213,Muhammad Hajj
OE 520_A_U,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Gateway North 213,Muhammad Hajj
PEP 111_A,"Friday, May 10, 2024",7:00 PM,10:00 PM,Kidde 228,Xiaoyang Huang
PEP 111_B,"Friday, May 10, 2024",7:00 PM,10:00 PM,Burchard 111,Matthew Coleman
PEP 111_C,"Friday, May 10, 2024",7:00 PM,10:00 PM,Burchard 111,Debing Zeng
PEP 111_D,"Friday, May 10, 2024",7:00 PM,10:00 PM,Kidde 228,Samuel Hedemann
PEP 111_E,"Friday, May 10, 2024",7:00 PM,10:00 PM,Kidde 228,Matthew Coleman
PEP 111_S,"Friday, May 10, 2024",7:00 PM,10:00 PM,Burchard 104,Vladimir Lukic
PEP 112_A,"Friday, May 10, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Robert Pastore
PEP 112_B,"Friday, May 10, 2024",7:00 PM,10:00 PM,Gateway South 122,Robert Pastore
PEP 112_D,"Friday, May 10, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Robert Pastore
PEP 112_E,"Friday, May 10, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 222,Edward Whittaker
PEP 112_S,"Friday, May 10, 2024",7:00 PM,10:00 PM,Burchard 714,Christopher Search
PEP 123_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Burchard 514,Igor Pikovski
PEP 151_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 222,Matthew Coleman
PEP 151_B,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Burchard 517,Ting Lu
PEP 152_A,"Friday, May 10, 2024",11:30 AM,2:30 PM,Carnegie 315,Vladimir Lukic
PEP 201_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,Gateway South 122,Samuel Hedemann
PEP 209_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Gateway South 121,Stefan Strauf
PEP 242_A,"Saturday, May 4, 2024",7:00 PM,10:00 PM,Burchard 103,Samuel Hedemann
PEP 305_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Morton 205,Vladimir Lukic
PEP 336_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Burchard 517,Ting Lu
PEP 369_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,North Building 102,Xiaofeng Qian
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
PEP 509_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Peirce 220,Christopher Search
PEP 516_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 231,Marvin Hutt
PEP 528_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway South 121,Vladimir Lukic
PEP 542_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,ABS Engineering Center 301,Adam Overvig
PEP 642_A,"Saturday, May 11, 2024",3:00 PM,6:00 PM,Babbio 310,Xiaofeng Qian
PEP 644_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,Edwin A. Stevens 231,Chunlei Qu
PEP 690_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,North Building 105,Zhuo Feng
PEP 777_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Babbio 202,Svetlana Malinovskaya
PME 535_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,McLean 105,Leonid Shnayder
PME 555_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Morton 205,Robert Lechich
PME 660_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 104,Jonathan Gabel
QF 102_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,Gateway South 122,George Calhoun
QF 102_B,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 432 (Hanlon Financial Syste,George Calhoun
QF 102_C,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 111 (Hanlon II),George Calhoun
QF 112_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Babbio 122,Thomas Lonon
QF 112_B,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Babbio 122,Thomas Lonon
QF 112_C,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Babbio 122,Anthony Diaco
QF 202_A,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Kidde 228,Ionut Florescu
QF 343_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 122,Thomas Lonon
QF 343_B,"Monday, May 6, 2024",3:00 PM,6:00 PM,Babbio 122,Thomas Lonon
SM 509_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 216,Geatesh Tampy
SM 530_A,"Tuesday, May 7, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 229,Rosita Nunez
SM 531_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,ABS Engineering Center 301,George Korfiatis
SM 587_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 025,Angelo Elmi
SSW 322_A,"Monday, May 6, 2024",8:00 AM,11:00 AM,McLean 211,Jacqueline Libby
SSW 533_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 106,Richard Ens
SSW 533_A_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,McLean 106,Richard Ens
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
SSW 564_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 024,David Darian Muresan
SSW 564_A_U,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Gateway South 024,David Darian Muresan
SSW 565_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,McLean 414,David Darian Muresan
SSW 567_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway South 025,Razieh Saremi
SSW 567_A_U,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway South 025,Razieh Saremi
SYS 611_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Gateway South 121,Amro Farid
SYS 622_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Gateway North 213,Jose Ramirez-Marquez
SYS 624_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Babbio 220,Carlo Lipizzi
SYS 660_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,North Building 105,Safa Elkefi
SYS 681_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Gateway North 103,Roshanak Nilchiani
