Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CS 589_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Burchard 103,Xueqing Liu
CS 590_A,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,North Building 105,In Suk Jang
CS 593_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,Edwin A. Stevens 330,Khashayar Dehnad
Course and Section,Day and Date,Start Time,End Time,Building and Room(s),Instructor
CS 601_A,"Thursday, May 9, 2024",8:00 AM,11:00 AM,Gateway South 121,Antonio Nicolosi
CS 615_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Babbio 210,Jan Schaumann
CS 810_E,"Wednesday, May 8, 2024",7:00 PM,10:00 PM,Howe 303 (Fielding),Tegan Brennan
ECON 242_A,"Tuesday, May 14, 2024",11:30 AM,2:30 PM,Babbio 319,Joelle Saad-Lessler
EE 250_A,"Monday, May 13, 2024",3:00 PM,6:00 PM,Babbio 321,Tewodros Zewde
EE 345_A,"Monday, May 6, 2024",3:00 PM,6:00 PM,McLean 211,Cristina Comaniciu
EE 345_B,"Monday, May 13, 2024",7:00 PM,10:00 PM,Gateway South 021,Shirantha Welikala
EE 348_A,"Thursday, May 9, 2024",11:30 AM,2:30 PM,McLean 414,Elnaz Banan Sadeghian
EE 359_B,"Tuesday, May 7, 2024",11:30 AM,2:30 PM,Peirce 120,Rod Kim
EE 390_A,"Tuesday, May 14, 2024",3:00 PM,6:00 PM,Kidde 360,Bernard Yett
EE 441_A,"Monday, May 13, 2024",11:30 AM,2:30 PM,McLean 106,Tewodros Zewde
EE 448_A,"Thursday, May 9, 2024",7:00 PM,10:00 PM,Morton 205,Bernard Yett
EE 462_A,"Saturday, May 11, 2024",7:00 PM,10:00 PM,McLean 104,Hong Man
EE 465_A,"Wednesday, May 8, 2024",11:30 AM,2:30 PM,McLean 114,Tewodros Zewde
EE 471_A,"Friday, May 10, 2024",3:00 PM,6:00 PM,McLean 114,Robert Pastore
EE 478_A,"Tuesday, May 7, 2024",3:00 PM,6:00 PM,Burchard 104,Yi Guo
EE 489_A,"Wednesday, May 8, 2024",8:00 AM,11:00 AM,Burchard 430,Lei Wu
EE 509_A,"Thursday, May 9, 2024",3:00 PM,6:00 PM,Peirce 220,Christopher Search
